match_id,match_url,player1,player1_score,player2_score,player2,number_of_turns,map
M121,https://en.boardgamearena.com/table?table=628203072,portgard,93.0,129.0,Darcelmaw,29.0,Geographical Zoo (9)
M122,https://boardgamearena.com/table?table=624159086,hipalmer,110.0,102.0,Valscor,30.0,Geographical Zoo (9)
M123,https://boardgamearena.com/table?table=624051019,Racer31,98.0,142.0,Yohan06,29.0,Commercial Harbor (4a)
M124,https://boardgamearena.com/table?table=631168321,yuigahama1997,138.0,136.0,DugongEnjoyer,39.0,Commercial Harbor (4a)
M125,https://boardgamearena.com/table?table=625466530,Grahamtasia,100.0,118.0,Employee_427,30.0,Ice Cream Parlors (7a)
M126,https://boardgamearena.com/table?table=627908422,HighwayGoGo,109.0,76.0,NY Steezy,29.0,Hollywood Hills (8a)
M127,https://boardgamearena.com/table?table=630537459,monkeydo,121.0,90.0,ALICE012,26.0,Ice Cream Parlors (7a)
M128,https://boardgamearena.com/table?table=632247334,Wolf Ren,125.0,114.0,ooltje,35.0,Silver Lake (3a)
M129,https://boardgamearena.com/table?table=624057311,DugongEnjoyer,133.0,120.0,hipalmer,33.0,Hollywood Hills (8a)
M130,https://boardgamearena.com/table?table=627024523,Racer31,115.0,103.0,Grahamtasia,32.0,Research Institute (6a)
M131,https://boardgamearena.com/table?table=630767922,yuigahama1997,125.0,101.0,HighwayGoGo,28.0,Ice Cream Parlors (7a)
M132,https://boardgamearena.com/table?table=628848269,monkeydo,130.0,101.0,Employee_427,29.0,Research Institute (6a)
M133,https://boardgamearena.com/table?table=626060845,Darcelmaw,123.0,107.0,NY Steezy,37.0,Hollywood Hills (8a)
M134,https://boardgamearena.com/table?table=626379342,ooltje,139.0,136.0,portgard,33.0,Outdoor Areas (2a)
M135,https://boardgamearena.com/table?table=624282296,Yohan06,110.0,116.0,Wolf Ren,33.0,Research Institute (6a)
M136,https://boardgamearena.com/table?table=628637747,ALICE012,100.0,112.0,Valscor,30.0,Silver Lake (3a)
M137,https://boardgamearena.com/table?table=630652467,monkeydo,120.0,123.0,Racer31,33.0,Silver Lake (3a)
M138,https://boardgamearena.com/table?table=631397981,Grahamtasia,128.0,125.0,Wolf Ren,32.0,Research Institute (6a)
M139,https://boardgamearena.com/table?table=630863909,HighwayGoGo,118.0,106.0,hipalmer,30.0,Research Institute (6a)
M140,https://boardgamearena.com/table?table=633780277,yuigahama1997,126.0,129.0,Darcelmaw,33.0,Outdoor Areas (2a)
M141,https://boardgamearena.com/table?table=628041106,Employee_427,97.0,109.0,ALICE012,32.0,Geographical Zoo (9)
M142,https://boardgamearena.com/table?table=632217998,ooltje,119.0,101.0,NY Steezy,28.0,Observation Tower (1a)
M143,https://boardgamearena.com/table?table=624396924,portgard,136.0,122.0,Yohan06,32.0,Research Institute (6a)
M144,https://boardgamearena.com/table?table=625636623,Valscor,108.0,138.0,DugongEnjoyer,37.0,Hollywood Hills (8a)
M145,https://boardgamearena.com/table?table=630585894,Racer31,125.0,114.0,ALICE012,30.0,Ice Cream Parlors (7a)
M146,https://boardgamearena.com/table?table=631193133,ooltje,124.0,106.0,yuigahama1997,31.0,Park Restaurant (5a)
M147,https://boardgamearena.com/table?table=630724370,DugongEnjoyer,92.0,128.0,HighwayGoGo,33.0,Hollywood Hills (8a)
M148,https://boardgamearena.com/table?table=624243146,Employee_427,122.0,122.0,Valscor,30.0,Observation Tower (1a)
M149,https://boardgamearena.com/table?table=632613583,Grahamtasia,123.0,142.0,portgard,29.0,Outdoor Areas (2a)
M150,https://boardgamearena.com/table?table=624458238,NY Steezy,82.0,115.0,Yohan06,29.0,Commercial Harbor (4a)
