match_id,match_url,player1,player1_score,player2_score,player2,number_of_turns,map
M241,https://boardgamearena.com/table?table=625633595,Andrewsmile,140.0,114.0,TonyBegonia,29.0,Commercial Harbor (4a)
M242,https://boardgamearena.com/table?table=631552222,tobiko11,132.0,126.0,Maro97,39.0,Research Institute (6a)
M243,https://boardgamearena.com/table?table=627741745,derekhuo,124.0,124.0,randale_und_hurra,29.0,Observation Tower (1a)
M244,https://boardgamearena.com/table?table=633237041,sorryimlikethis,97.0,127.0,BlanketAddict,27.0,Outdoor Areas (2a)
M245,https://boardgamearena.com/table?table=628864946,Helbiii,111.0,127.0,Propaganda Panda,29.0,Observation Tower (1a)
M246,https://boardgamearena.com/table?table=632683956,howwow90,113.0,126.0,Paju_,31.0,Silver Lake (3a)
M247,https://boardgamearena.com/table?table=631276210,LorraineRC,120.0,129.0,ryanechternacht,31.0,Commercial Harbor (4a)
M248,https://en.boardgamearena.com/table?table=632102988,LXYR,108.0,117.0,Faerch,29.0,Commercial Harbor (4a)
M249,https://boardgamearena.com/table?table=628666978,derekhuo,113.0,134.0,LXYR,32.0,Silver Lake (3a)
M250,https://boardgamearena.com/table?table=625056911,randale_und_hurra,115.0,114.0,howwow90,27.0,Park Restaurant (5a)
M251,https://boardgamearena.com/table?table=625563735,LorraineRC,93.0,126.0,Helbiii,31.0,Commercial Harbor (4a)
M252,https://boardgamearena.com/table?table=632208411,Maro97,123.0,113.0,Paju_,32.0,Observation Tower (1a)
M253,https://boardgamearena.com/table?table=625643416,Andrewsmile,113.0,110.0,BlanketAddict,28.0,Research Institute (6a)
M254,https://boardgamearena.com/table?table=633094307,ryanechternacht,109.0,123.0,TonyBegonia,30.0,Outdoor Areas (2a)
M255,https://boardgamearena.com/table?table=623923579,tobiko11,113.0,117.0,Propaganda Panda,30.0,Park Restaurant (5a)
M256,https://boardgamearena.com/table?table=631008844,sorryimlikethis,124.0,143.0,Faerch,33.0,Silver Lake (3a)
M257,https://boardgamearena.com/table?table=629642156,LXYR,124.0,105.0,howwow90,29.0,Hollywood Hills (8a)
M258,https://boardgamearena.com/table?table=632717310,Propaganda Panda,133.0,107.0,Paju_,28.0,Silver Lake (3a)
M259,https://boardgamearena.com/table?table=627160398,tobiko11,125.0,124.0,LorraineRC,33.0,Hollywood Hills (8a)
M260,https://boardgamearena.com/table?table=633589531,TonyBegonia,122.0,115.0,BlanketAddict,29.0,Park Restaurant (5a)
M261,https://boardgamearena.com/table?table=629832224,Helbiii,119.0,114.0,ryanechternacht,31.0,Research Institute (6a)
M262,https://boardgamearena.com/table?table=625189906,sorryimlikethis,103.0,111.0,derekhuo,32.0,Park Restaurant (5a)
