match_id,match_url,player1,player1_score,player2_score,player2,number_of_turns,map
M361,https://boardgamearena.com/table?table=634400400,2win9,130.0,149.0,Gloriousbui,36.0,Hollywood Hills (8a)
M362,https://boardgamearena.com/table?table=624362356,e-p-e,97.0,115.0,SQR_PI,29.0,Ice Cream Parlors (7a)
M363,https://boardgamearena.com/table?table=624452310,ScientistOmni,110.0,117.0,one_more_try_plees,27.0,Park Restaurant (5a)
M364,https://boardgamearena.com/table?table=627309208,dwarvintime,134.0,119.0,SirL,33.0,Hollywood Hills (8a)
M365,https://boardgamearena.com/table?table=627328344,Arrigo II,112.0,143.0,SzyBek,31.0,Silver Lake (3a)
M366,https://boardgamearena.com/table?table=625432863,maltman,150.0,156.0,rudaZz,34.0,Commercial Harbor (4a)
M367,https://boardgamearena.com/table?table=627654202,GBLbeans,99.0,139.0,duyanhcao,33.0,Hollywood Hills (8a)
M368,https://boardgamearena.com/table?table=634162295,extrazen,135.0,107.0,AdamHorton,34.0,Hollywood Hills (8a)
M369,https://boardgamearena.com/table?table=624326683,duyanhcao,130.0,102.0,extrazen,33.0,Silver Lake (3a)
M370,https://boardgamearena.com/table?table=627652700,SzyBek,128.0,90.0,ScientistOmni,28.0,Observation Tower (1a)
M371,https://boardgamearena.com/table?table=623986896,AdamHorton,128.0,135.0,SQR_PI,28.0,Ice Cream Parlors (7a)
M372,https://boardgamearena.com/table?table=624404795,SirL,99.0,123.0,maltman,29.0,Research Institute (6a)
M373,https://boardgamearena.com/table?table=626571277,dwarvintime,120.0,72.0,2win9,27.0,Park Restaurant (5a)
M374,https://boardgamearena.com/table?table=627689614,rudaZz,128.0,113.0,GBLbeans,27.0,Research Institute (6a)
M375,https://boardgamearena.com/table?table=629754935,Arrigo II,127.0,132.0,Gloriousbui,31.0,Commercial Harbor (4a)
M376,https://boardgamearena.com/table?table=624513955,one_more_try_plees,124.0,119.0,e-p-e,30.0,Geographical Zoo (9)
M377,https://boardgamearena.com/table?table=631235688,Arrigo II,99.0,114.0,dwarvintime,28.0,Research Institute (6a)
M378,https://boardgamearena.com/table?table=624259367,SQR_PI,114.0,117.0,duyanhcao,27.0,Silver Lake (3a)
M379,https://boardgamearena.com/table?table=623900427,rudaZz,119.0,90.0,SirL,28.0,Geographical Zoo (9)
M380,https://boardgamearena.com/table?table=625172296,maltman,108.0,109.0,2win9,28.0,Research Institute (6a)
M381,https://boardgamearena.com/table?table=624478393,AdamHorton,114.0,123.0,one_more_try_plees,30.0,Outdoor Areas (2a)
M382,https://boardgamearena.com/table?table=627203353,Gloriousbui,138.0,113.0,ScientistOmni,33.0,Silver Lake (3a)
M383,https://boardgamearena.com/table?table=627735480,GBLbeans,112.0,87.0,extrazen,24.0,Observation Tower (1a)
M384,https://boardgamearena.com/table?table=624007930,SzyBek,81.0,113.0,e-p-e,30.0,Research Institute (6a)
M385,https://boardgamearena.com/table?table=626722211,SQR_PI,131.0,132.0,GBLbeans,28.0,Ice Cream Parlors (7a)
M386,https://boardgamearena.com/table?table=626734819,2win9,105.0,115.0,SirL,29.0,Ice Cream Parlors (7a)
M387,https://boardgamearena.com/table?table=627816865,Arrigo II,133.0,109.0,maltman,35.0,Hollywood Hills (8a)
M388,https://boardgamearena.com/table?table=631150902,extrazen,141.0,117.0,rudaZz,28.0,Commercial Harbor (4a)
M389,https://boardgamearena.com/table?table=627824442,e-p-e,112.0,100.0,Gloriousbui,27.0,Commercial Harbor (4a)
M390,https://boardgamearena.com/table?table=627718130,duyanhcao,116.0,106.0,one_more_try_plees,33.0,Park Restaurant (5a)
M391,https://boardgamearena.com/table?table=625237506,dwarvintime,125.0,98.0,ScientistOmni,29.0,Observation Tower (1a)
M392,https://boardgamearena.com/table?table=624502854,SzyBek,106.0,125.0,AdamHorton,28.0,Research Institute (6a)
M393,https://boardgamearena.com/table?table=624448728,SirL,105.0,124.0,Arrigo II,26.0,Geographical Zoo (9)
M394,https://boardgamearena.com/table?table=644670079,rudaZz,117.0,115.0,2win9,28.0,Outdoor Areas (2a)
M395,https://boardgamearena.com/table?table=626756653,GBLbeans,96.0,123.0,one_more_try_plees,29.0,Geographical Zoo (9)
M396,https://boardgamearena.com/table?table=624424534,SzyBek,134.0,147.0,duyanhcao,35.0,Hollywood Hills (8a)
M397,https://boardgamearena.com/table?table=624336787,SQR_PI,131.0,139.0,extrazen,36.0,Hollywood Hills (8a)
M398,https://boardgamearena.com/table?table=626307520,dwarvintime,113.0,111.0,e-p-e,28.0,Research Institute (6a)
M399,https://boardgamearena.com/table?table=634138268,AdamHorton,96.0,109.0,Gloriousbui,29.0,Ice Cream Parlors (7a)
M400,https://boardgamearena.com/table?table=625675490,ScientistOmni,123.0,120.0,maltman,35.0,Park Restaurant (5a)
M401,https://boardgamearena.com/table?table=643063911,ScientistOmni,123.0,120.0,SirL,32.0,Commercial Harbor (4a)
M402,https://boardgamearena.com/table?table=631379693,dwarvintime,128.0,122.0,AdamHorton,34.0,Geographical Zoo (9)
M403,https://boardgamearena.com/table?table=641095019,Arrigo II,117.0,89.0,2win9,31.0,Geographical Zoo (9)
M404,https://boardgamearena.com/table?table=630669620,one_more_try_plees,123.0,124.0,extrazen,35.0,Park Restaurant (5a)
M405,https://boardgamearena.com/table?table=640918236,duyanhcao,108.0,109.0,Gloriousbui,31.0,Silver Lake (3a)
M406,https://boardgamearena.com/table?table=634475628,SzyBek,82.0,118.0,GBLbeans,26.0,Geographical Zoo (9)
M407,No hyperlink,maltman,0.0,0.0,e-p-e,,
M408,https://boardgamearena.com/table?table=639833288,rudaZz,103.0,115.0,SQR_PI,28.0,Research Institute (6a)
M409,https://boardgamearena.com/table?table=634564471,extrazen,142.0,146.0,SzyBek,36.0,Park Restaurant (5a)
M410,No hyperlink,AdamHorton,0.0,0.0,maltman,,
M411,https://boardgamearena.com/table?table=637394492,ScientistOmni,117.0,130.0,2win9,32.0,Ice Cream Parlors (7a)
M412,https://boardgamearena.com/table?table=637638437,dwarvintime,112.0,137.0,duyanhcao,28.0,Geographical Zoo (9)
M413,No hyperlink,rudaZz,,,Arrigo II,,
M414,https://boardgamearena.com/table?table=637860933,Gloriousbui,120.0,89.0,GBLbeans,28.0,Ice Cream Parlors (7a)
M415,https://boardgamearena.com/table?table=648251980,SirL,122.0,126.0,e-p-e,26.0,Outdoor Areas (2a)
M416,https://boardgamearena.com/table?table=630686347,SQR_PI,121.0,84.0,one_more_try_plees,28.0,Outdoor Areas (2a)
M417,No hyperlink,maltman,0.0,0.0,duyanhcao,,
M418,https://boardgamearena.com/table?table=638866042,Arrigo II,96.0,116.0,ScientistOmni,29.0,Commercial Harbor (4a)
M419,https://boardgamearena.com/table?table=648276863,SirL,125.0,128.0,AdamHorton,30.0,Park Restaurant (5a)
M420,https://boardgamearena.com/table?table=644835885,rudaZz,72.0,113.0,one_more_try_plees,,Geographical Zoo (9)
M421,https://boardgamearena.com/table?table=630519730,SQR_PI,120.0,132.0,SzyBek,27.0,Ice Cream Parlors (7a)
M422,https://boardgamearena.com/table?table=637605660,GBLbeans,112.0,125.0,dwarvintime,30.0,Silver Lake (3a)
M423,https://boardgamearena.com/table?table=642251843,e-p-e,139.0,173.0,2win9,37.0,Silver Lake (3a)
M424,https://boardgamearena.com/table?table=648303621,extrazen,127.0,135.0,Gloriousbui,30.0,Silver Lake (3a)
M425,https://boardgamearena.com/table?table=640850767,Gloriousbui,104.0,119.0,SQR_PI,30.0,Hollywood Hills (8a)
M426,No hyperlink,GBLbeans,0.0,0.0,maltman,,
M427,https://boardgamearena.com/table?table=639817616,rudaZz,138.0,104.0,ScientistOmni,31.0,Observation Tower (1a)
M428,https://boardgamearena.com/table?table=631067618,SirL,148.0,112.0,duyanhcao,33.0,Silver Lake (3a)
M429,https://boardgamearena.com/table?table=641146310,AdamHorton,110.0,111.0,2win9,33.0,Observation Tower (1a)
M430,https://boardgamearena.com/table?table=635349156,dwarvintime,116.0,106.0,extrazen,29.0,Park Restaurant (5a)
M431,https://boardgamearena.com/table?table=641955729,Arrigo II,122.0,109.0,e-p-e,28.0,Silver Lake (3a)
M432,https://boardgamearena.com/table?table=630629058,SzyBek,89.0,107.0,one_more_try_plees,29.0,Observation Tower (1a)
M433,https://boardgamearena.com/table?table=640005036,one_more_try_plees,125.0,77.0,Gloriousbui,34.0,Hollywood Hills (8a)
M434,https://boardgamearena.com/table?table=639578349,AdamHorton,103.0,121.0,Arrigo II,27.0,Park Restaurant (5a)
